drop_zone,coef,ci_low,ci_high,N
West Hararge,-0.013390347056418115,-0.032320712940596096,0.005540018827759867,3103
Zone  03,-0.010123477473647993,-0.02070496065635894,0.00045800570906295683,4890
North Shewa,-0.005472046458517489,-0.024588400781592846,0.013644307864557868,3846
Oromiya,-0.0028312701171472852,-0.020035441220601496,0.014372900986306926,4896
South Wolo,-0.0018049443465666705,-0.01886331804801988,0.01525342935488654,5160
Argoba Special woreda,-0.0014851266367695432,-0.018451388341166018,0.015481135067626932,5304
East Hararge,-0.001379398351152618,-0.018340195191062763,0.015581398488757527,5309
Arsi,-0.001293707961186265,-0.01828779443191411,0.015700378509541583,5250
East Shewa,0.0014996064782972776,-0.015546584946372313,0.018545797902966867,5118
Zone 05,0.005728965474967831,-0.011235144795625734,0.022693075745561397,5022
